join_method	3,3	3,3 2,2,2,2
sampling_ratio  2*2 4*4 2*2*2*2
46	44	16  16
466	639	390	253
658	695	780	439
1412	1431	1235	1149
2201	2047	2666	1555
2703	2510	2715	1961
3150	3173	2959	2130
3201	3217	3235	2316
5152	4726	5251	3398
5207	5237	6552	3415
7833	8077	6649	6221
8620	8173	8308	7574
25305	24565	22827	21083
44816	43249	43411	37957
102841	102186	96804	71129
131104	130858	120932	92027
142788	146356	138151	119333
425608	395543	460303	304301
577838	574385	547677	413795
2342108	2395135	2306295	1940173
3835826	3717669	3891252	4000069